,FBH400-40,FBH510-10,FBH630-10,FBH700-40,FBH770-10,FESH0500,FESH0750,FESH0750_NF633-25,350nm,550nm,750nm,950nm
337.0,1.6224186017657305e-08,1.2026282160390128e-07,6.182416917498785e-08,1.8102776684035502e-07,7.52691255314543e-08,2.2928040699537295e-05,6.114546856734699e-06,1.5714385421808172e-10,0.0,0.0,0.0,0.0
338.0,1.5086434290409424e-08,1.3726000752174458e-07,7.193071367635426e-08,1.6953854581490754e-07,8.549711809046443e-08,7.270078389948058e-05,3.350807420703937e-06,1.4877584947925485e-10,0.0,0.0,0.0,0.0
339.0,2.4538146605661044e-08,1.441162109009493e-07,7.028158770346071e-08,2.043564585396641e-07,9.844000136971621e-08,0.00018042354883211702,7.299208942919765e-06,3.072966964969221e-10,0.0,0.0,0.0,0.0
340.0,1.6525933454039528e-08,1.4556522116511528e-07,7.55933143788348e-08,2.5254952463604666e-07,7.98626215769692e-08,0.00031557410203718106,3.088587215682324e-06,1.6956343814095958e-10,0.0,0.0,0.0,0.0
341.0,1.9678091056029967e-08,1.5259371982487254e-07,7.837625204874505e-08,2.523274160112302e-07,9.294933749244723e-08,0.0005558895082831361,4.901923461190125e-06,2.2842963329145985e-10,0.0,0.0,0.0,0.0
342.0,2.2395198023847885e-08,1.710464649137111e-07,9.067170183077706e-08,2.1297622480252542e-07,1.002546686006357e-07,0.0006660274675916688,7.410004605887069e-06,3.482702164766922e-11,0.0,0.0,0.0,0.0
343.0,2.6755918536777807e-08,1.8460460463166375e-07,1.0075136212729971e-07,2.055592371934691e-07,1.139709467224751e-07,0.0004125619257464551,8.46496959599158e-06,2.666465422737348e-10,0.0,0.0,0.0,0.0
344.0,2.6437407498874124e-08,1.83476794716457e-07,9.785266174683709e-08,2.535992720532101e-07,1.1150948763137139e-07,0.00011077753896365462,8.204007751098106e-06,3.150338976421673e-10,0.0,0.0,0.0,0.0
345.0,3.997561046486874e-08,1.7281856069422447e-07,9.871926026361055e-08,2.783943240984554e-07,1.0594819596453486e-07,6.848818024296717e-05,1.1697141153247014e-05,3.134833829070199e-10,0.0,0.0,0.0,0.0
346.0,3.729773755271439e-08,1.5830143940919485e-07,9.74597574062436e-08,3.07507958115959e-07,1.1791870708949035e-07,0.00013793103554641682,8.435205688388952e-06,3.4331287151743025e-10,0.0,0.0,0.0,0.0
347.0,5.821437599229103e-08,1.6938620540906994e-07,9.616560720119589e-08,3.5398744231645336e-07,1.254959156958616e-07,0.00020930777407240572,1.0976414365426844e-05,5.235749652308606e-10,0.0,0.0,0.0,0.0
348.0,2.019023001986295e-08,1.6703894891585666e-07,7.286923710003687e-08,3.6613341791440856e-07,1.0177843212350233e-07,0.00038775551865425706,1.2187484665608627e-05,8.531239265926037e-11,0.0,0.0,0.0,0.0
349.0,2.5637231213075036e-08,1.6464924197513232e-07,8.562274542144359e-08,3.520117531999457e-07,1.2392403062113113e-07,0.0009539423569393353,1.3562922319175178e-05,3.472108113708846e-10,0.0,0.0,0.0,0.0
350.0,2.4602000119835655e-08,1.6211084306710714e-07,8.53416906160182e-08,3.517219995344401e-07,1.1143065466581347e-07,0.0018013455896908174,7.578036058041402e-06,3.076682639564809e-10,0.029450106792668736,0.0,0.0,0.0
351.0,2.2538143975332987e-08,1.5681142586833182e-07,8.974532180335921e-08,3.587011355862281e-07,1.1353670884160052e-07,0.0023646312405122966,8.664922899838801e-06,2.712120867649545e-10,0.0,0.0,0.0,0.0
352.0,1.961118661555111e-08,1.6365445336656952e-07,9.394349376164752e-08,3.3338758237336727e-07,1.0613299789591665e-07,0.00255004730154752,4.0021371648344095e-06,1.7169168437139618e-10,0.0,0.0,0.0,0.0
