,FBH400-40,FBH510-10,FBH630-10,FBH700-40,FBH770-10,FESH0500,FESH0750,FESH0750_NF633-25,350nm,550nm,750nm,950nm
341.0,1.278549836442893e-07,9.914512285200512e-07,5.092361040133676e-07,1.6394536215562316e-06,6.039221991099963e-07,0.0036117956659110686,3.184939749346117e-05,1.4841819231952906e-09,0.0,0.0,0.0,0.0
342.0,1.4435249091107202e-07,1.102512388840451e-06,5.844416289813995e-07,1.3727785984452165e-06,6.462104564806727e-07,0.0042930061997965615,4.7762588273757535e-05,2.244841648866604e-10,0.0,0.0,0.0,0.0
343.0,1.7110052904860453e-07,1.180521815159107e-06,6.442915177310354e-07,1.3145238944529167e-06,7.28828997351785e-07,0.002638278467752825,5.4132351100697306e-05,1.7051690596719652e-09,0.0,0.0,0.0,0.0
344.0,1.6774109177693327e-07,1.1641307061890023e-06,6.208593756930371e-07,1.609046528856983e-06,7.07509735951577e-07,0.000702865639564565,5.205310759665919e-05,1.998839331711713e-09,0.0,0.0,0.0,0.0
345.0,2.5166997012387404e-07,1.0879944421358867e-06,6.214957818599854e-07,1.7526559423048057e-06,6.670061820945951e-07,0.0004311733598348351,7.364038048048053e-05,1.973562196876878e-09,0.0,0.0,0.0,0.0
346.0,2.3300253360782665e-07,9.889242317708337e-07,6.088404254645273e-07,1.9210316240850233e-06,7.366494408079958e-07,0.0008616683706362616,5.2695536669482e-05,2.144708342447917e-09,0.0,0.0,0.0,0.0
347.0,3.608909823686188e-07,1.0500834721283787e-06,5.961637458333336e-07,2.194490168900151e-06,7.779924378941446e-07,0.0012975710366178684,6.804657605105108e-05,3.245821677635137e-09,0.0,0.0,0.0,0.0
348.0,1.2421671922860365e-07,1.0276767623404659e-06,4.4831473224192964e-07,2.2525692836852487e-06,6.26173298381194e-07,0.002385595327177178,7.49812834881757e-05,5.248689844172299e-10,0.0,0.0,0.0,0.0
349.0,1.5654092778716222e-07,1.0053482329673425e-06,5.228124635050677e-07,2.149383682657658e-06,7.56680101970721e-07,0.005824771808220722,8.281520050675677e-05,2.1200691329729737e-09,0.0,0.0,0.0,0.0
350.0,1.4909731120448574e-07,9.824522681353228e-07,5.172025259131006e-07,2.131566708666479e-06,6.753113940127627e-07,0.010916827195542418,4.592572941066066e-05,1.8645846140728225e-09,0.1784786487311505,0.0,0.0,0.0
351.0,1.3557751563438439e-07,9.432943353978979e-07,5.398602379692192e-07,2.157755708333333e-06,6.829765989114115e-07,0.014224366892454954,5.212357864114114e-05,1.631468011467718e-09,0.0,0.0,0.0,0.0
352.0,1.171037151731419e-07,9.77225135304054e-07,5.609620851351351e-07,1.990747691807432e-06,6.337489209459458e-07,0.01522702418433277,2.3897846663851348e-05,1.0252176218792229e-09,0.0,0.0,0.0,0.0
353.0,1.44096044176051e-07,9.214814771490237e-07,5.093913976764263e-07,1.8394156894613358e-06,6.352677312124623e-07,0.015187169036936931,3.3107805142642634e-05,1.3805954744481975e-09,0.0,0.0,0.0,0.0
354.0,1.622317094702514e-07,9.097679247935431e-07,5.23669259431306e-07,1.8268882697165907e-06,6.570297540071318e-07,0.012155604677205325,3.8470546818693674e-05,1.3464691386542786e-10,0.0,0.0,0.0,0.0
355.0,1.3345046087837835e-07,9.841315190878377e-07,6.077176959459459e-07,1.8382404189189184e-06,6.442340662725225e-07,0.006795580345326575,4.5815195382882874e-05,9.025593490427924e-10,0.0,0.0,0.0,0.0
356.0,1.3232576082770267e-07,9.337743773085582e-07,6.131628162021395e-07,1.832377377632319e-06,6.33289241483671e-07,0.0024162481665540533,3.277774860641891e-05,1.2160544732981416e-09,0.0,0.0,0.0,0.0
357.0,2.793453900337837e-07,8.683449817567564e-07,4.67312432314189e-07,1.7695253335304047e-06,6.018894892736484e-07,0.0005036058745777025,3.6860063766891875e-05,1.7913990990709454e-09,0.0,0.0,0.0,0.0
358.0,1.4086654769144137e-07,9.01450219031531e-07,5.249701448479728e-07,1.5680476952421165e-06,6.376465202702699e-07,0.00011617637246621616,2.03333161599099e-05,9.881991653716209e-10,0.0,0.0,0.0,0.0
359.0,1.395722554391891e-07,9.086330668918915e-07,5.302473470720717e-07,1.5387057434684676e-06,5.811124879504501e-07,7.026455259009005e-05,3.302565180180178e-05,1.1063593353603597e-09,0.0,0.0,0.0,0.0
360.0,1.552794370870867e-07,8.263449859609588e-07,5.41841425863362e-07,1.7551587585210166e-06,5.819358085585571e-07,2.8449873235735662e-05,4.23875593093092e-05,2.458478439939934e-10,0.0,0.0,0.0,0.0
361.0,1.840856224099096e-07,8.999707316066053e-07,5.70537602927927e-07,1.715837758370868e-06,6.563251272897888e-07,1.2551642454954935e-05,4.2244362274774704e-05,9.758447685472957e-10,0.0,0.0,0.0,0.0
362.0,3.3366468585585563e-07,1.021621547259759e-06,6.38662372034534e-07,1.4067456243618609e-06,7.749424012387382e-07,2.4782143093093077e-05,3.2794455818318296e-05,1.3642493620420409e-09,0.0,0.0,0.0,0.0
363.0,2.1355309121621622e-07,1.096882676051051e-06,6.744704100975977e-07,1.4734761122372371e-06,8.121854382507508e-07,3.7034254129129136e-05,4.3486234797297304e-05,8.52330202027027e-10,0.0,0.0,0.0,0.0
364.0,2.6396507156906925e-07,1.1550158643018026e-06,7.354100223723729e-07,1.9123432014639655e-06,8.426184890015021e-07,2.9572036824324346e-05,2.9166608858858877e-05,1.1433310672672678e-09,0.0,0.0,0.0,0.0
365.0,3.430004694481982e-07,1.2394824047297298e-06,7.775609281531532e-07,1.953392176182433e-06,9.39741207150901e-07,2.2235591328828832e-05,4.607328220720721e-05,1.3821984662162162e-09,0.0,0.0,0.0,0.0
366.0,3.4408268108108046e-07,1.2769003243243223e-06,9.052644324324308e-07,1.7508047567567538e-06,9.917094054054036e-07,2.6105081081081036e-05,6.150918918918909e-05,1.414711351351349e-10,0.0,0.0,0.0,0.0
367.0,2.873135446396386e-07,1.3923011691441393e-06,9.037902341216185e-07,1.5960010953828776e-06,8.95195144876123e-07,2.37342507319819e-05,5.587914673423404e-05,7.096651635247725e-10,0.0,0.0,0.0,0.0
368.0,4.194721202477464e-07,1.4896249486486438e-06,8.460107605855828e-07,1.5843427112612561e-06,9.855266157657627e-07,4.0061418918918795e-05,4.658121846846832e-05,1.825983763963958e-09,0.0,0.0,0.0,0.0
369.0,2.031162918243238e-07,1.5797841162162122e-06,8.886410726351329e-07,1.585212268581077e-06,1.1417380570945917e-06,4.806124459459447e-05,6.864820033783767e-05,3.164682035574317e-09,0.0,0.0,0.0,0.0
370.0,5.228643357657648e-07,1.6891660675675643e-06,1.031865318918917e-06,2.1730690545045006e-06,1.2254723837837812e-06,3.8125101801801735e-05,5.4267845045044953e-05,2.621136915675671e-09,0.0,0.0,0.0,0.0
371.0,7.479407207957952e-07,1.7008708812687672e-06,1.1197666532657647e-06,3.207751451107355e-06,1.1754056228791282e-06,2.5724200018768746e-05,6.574458622372366e-05,1.6633380314602088e-09,0.0,0.0,0.0,0.0
